,State,County,Water
588,ID,Payette County,1.2259887005649717
589,ID,Power County,1.0254407611875747
590,ID,Shoshone County,1.1547029702970297
591,ID,Teton County,1.4752851711026616
592,ID,Twin Falls County,1.124595066035385
593,ID,Valley County,1.0143868331702826
594,ID,Washington County,1.046427410743303
595,IL,Adams County,1.0583668942975544
596,IL,Alexander County,1.0553097345132743
597,IL,Bond County,1.287273771904625
598,IL,Boone County,1.436871996505024
599,IL,Brown County,1.3849114703618168
600,IL,Bureau County,1.182815356489945
601,IL,Calhoun County,1.0325182101977106
602,IL,Carroll County,1.0443242764061877
603,IL,Cass County,1.1117693081479825
604,IL,Champaign County,1.31675641431739
605,IL,Christian County,1.137684152554041
606,IL,Clark County,1.227427791676143
607,IL,Clay County,1.441306266548985
608,IL,Clinton County,1.0331279401046842
609,IL,Coles County,1.3586800573888091
610,IL,Cook County,1.0014476975817659
611,IL,Crawford County,1.3136762860727729
612,IL,Cumberland County,1.5058168942842691
613,IL,DeKalb County,1.2321262766945218
614,IL,De Witt County,1.1171371676232869
615,IL,Douglas County,1.6414368184733803
616,IL,DuPage County,1.1018122581958867
617,IL,Edgar County,1.6165228113440198
618,IL,Edwards County,1.7680491551459294
619,IL,Effingham County,1.4486316733961417
620,IL,Fayette County,1.101440454453236
621,IL,Ford County,1.612369871402327
622,IL,Franklin County,1.0424556338626136
623,IL,Fulton County,1.0556235398820781
624,IL,Gallatin County,1.1636393388970707
625,IL,Greene County,1.2351281448389373
626,IL,Grundy County,1.0746491489997014
627,IL,Hamilton County,1.4492362982929021
628,IL,Hancock County,1.0461467466543608
629,IL,Hardin County,1.198019801980198
630,IL,Henderson County,1.0576435323956652
631,IL,Henry County,1.273972602739726
632,IL,Iroquois County,1.3795066413662238
633,IL,Jackson County,1.0517946858652303
634,IL,Jasper County,1.217202432667246
635,IL,Jefferson County,1.0734322220590395
636,IL,Jersey County,1.1130326664406014
637,IL,Jo Daviess County,1.0535475234270415
638,IL,Johnson County,1.1681520094165125
639,IL,Kane County,1.1937608990505715
640,IL,Kankakee County,1.172622130157086
641,IL,Kendall County,1.335795836131632
642,IL,Knox County,1.2267059623668102
643,IL,Lake County,1.0010804818516865
644,IL,LaSalle County,1.0713826825612107
645,IL,Lawrence County,1.337723741979061
646,IL,Lee County,1.1963864886095836
647,IL,Livingston County,1.3705075954057058
648,IL,Logan County,1.53475935828877
649,IL,McDonough County,1.5627462014631401
650,IL,McHenry County,1.1155001155001154
651,IL,McLean County,1.2551020408163265
652,IL,Macon County,1.1618908855431438
653,IL,Macoupin County,1.1744591765526866
654,IL,Madison County,1.038719169860998
655,IL,Marion County,1.2144542140253056
656,IL,Marshall County,1.0785854616895874
657,IL,Mason County,1.0396416395782129
658,IL,Massac County,1.178699070764832
659,IL,Menard County,1.495049504950495
660,IL,Mercer County,1.1177301624676241
661,IL,Monroe County,1.0713317640345246
662,IL,Montgomery County,1.1430615164520743
663,IL,Morgan County,1.2222222222222223
664,IL,Moultrie County,1.104887770086008
665,IL,Ogle County,1.1848087229717241
666,IL,Peoria County,1.080697224015494
667,IL,Perry County,1.161812297734628
668,IL,Piatt County,1.7739938080495357
669,IL,Pike County,1.054100843973166
670,IL,Pope County,1.1530924678505818
671,IL,Pulaski County,1.1982553528945281
672,IL,Putnam County,1.0765520936997628
673,IL,Randolph County,1.044048982468505
674,IL,Richland County,1.3474635163307853
675,IL,Rock Island County,1.0402771064926695
676,IL,St. Clair County,1.0579642939948992
